,PINC
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.028112449799196693
Growth 1yr High Est,0.05859375
Growth 1yr Consensus Est,0.043353099899598346
Growth 2yr Low Est,0.045306224899598346
Growth 2yr High Est,0.07726735470479706
Growth 2yr Consensus Est,0.061286789802197705
Growth 5yr Low Est,0.003958591482550927
Growth 5yr High Est,0.01827870337900353
Growth 5yr Consensus Est,0.011118647430777229
Growth 5yr Actual/Est,0.015901805313484257
Growth 3yr Historic,-0.021885708377643837
