,PINC
% Above Low,0.0737
% Held by Institutions,0.6818000000000001
52-Wk Range,['30.82 - 41.72']
Annual Dividend $,0.84
Annual Dividend %,0.0253
Ask,33.12
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,33.08
Bid Size,100.0
Day Change $,-0.16
Day Change %,-0.0048
Day High,33.22
Day Low,33.02
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.54
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.231
Last (size),100.0
Last (time),10:48a ET 11/28/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",21.55
Prev Close,33.25
Price,33.09
Shares Outstanding,118.8M
Short Interest,0.013600000000000001
Today's Open,33.13
Volume Past Day,(Heavy Day)
