,PLMR
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.432748538011696
Growth 1yr High Est,0.3999999999999999
Growth 1yr Consensus Est,0.41637426900584795
Growth 2yr Low Est,0.43882324859768473
Growth 2yr High Est,0.49365079365079356
Growth 2yr Consensus Est,0.46623702112423915
Growth 5yr Low Est,0.21941162429884237
Growth 5yr High Est,0.24682539682539678
Growth 5yr Consensus Est,0.23311851056211957
Growth 5yr Actual/Est,1.1930202775210326
Growth 3yr Historic,1.0148637489677952
