,PLMR
% Above Low,0.348
% Held by Institutions,0.9732
52-Wk Range,['44.01 - 95.20']
Annual Dividend $,
Annual Dividend %,
Ask,59.47
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,-0.1
Bid,59.17
Bid Size,100.0
Day Change $,-1.47
Day Change %,-0.024300000000000002
Day High,60.72
Day Low,59.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.93
Ex-dividend Date,No dividend
Historical Volatility,0.561
Last (size),2.0
Last (time),10:53a ET 11/28/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",31.46
Prev Close,60.8
Price,59.33
Shares Outstanding,25.2M
Short Interest,0.0329
Today's Open,60.72
Volume Past Day,(Light)
