,PLMR
Price/Earnings (TTM),31.45907
Price/Sales (TTM),4.92294
Price/Book (MRQ),4.17011
Price/Cash Flow (TTM),
5yr Low,18.06
5yr High,121.87
5yr Avg Return,0.5302
EPS Growth 5yr,0.4312643
Revenue Growth 5yr,0.42147640000000003
Dividend Growth 5yr,
Short Int Current Month,793026.0
Short Int Prev Month,874806.0
Short Int Pct of Float,0.0328828
Days to Cover,3.21768
Float,24.12531
Shares Outstanding,25.23274
Institutions Holding Shares,259.0
% Held by Institutions,0.973168
FCF Growth 5yr,0.12492765156833067
