,AMZN
% Above Low,0.08779999999999999
% Held by Institutions,0.5818
52-Wk Range,['85.87 - 181.68']
Annual Dividend $,
Annual Dividend %,
Ask,93.63
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.2
Bid,93.57
Bid Size,100.0
Closing Price,93.41
Day Change $,-0.72
Day Change %,-0.0076
Day High,94.43
Day Low,93.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.08
Ex-dividend Date,No dividend
Historical Volatility,0.494
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,953.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",86.2
Prev Close,94.13
Shares Outstanding,10.2B
Short Interest,0.0088
Today's Open,93.79
Volume,35088609.0
Volume 10-day Avg,89082291.0
Volume Past Day,(Light)
