,AMZN
Price/Earnings (TTM),86.20181
Price/Sales (TTM),1.89756
Price/Book (MRQ),6.92852
Price/Cash Flow (TTM),19.0908
5yr Low,56.24
5yr High,188.65
5yr Avg Return,0.13791666666666666
EPS Growth 5yr,0.6760082
Revenue Growth 5yr,0.2814073
Dividend Growth 5yr,
Short Int Current Month,81177291.0
Short Int Prev Month,79540326.0
Short Int Pct of Float,0.0088247
Days to Cover,0.68191
Float,9197.493
Shares Outstanding,10201.65
Institutions Holding Shares,5228.0
% Held by Institutions,0.581751
FCF Growth 5yr,0.26291407675905143
