,CINC
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.23739
Price/Cash Flow (TTM),
5yr Low,13.0
5yr High,43.15
5yr Avg Return,0.2633
Short Int Current Month,2121145.0
Short Int Prev Month,1853104.0
Short Int Pct of Float,0.06647059999999999
Days to Cover,7.37474
Float,38.84434
Shares Outstanding,43.76432
Institutions Holding Shares,118.0
% Held by Institutions,0.943611
FCF Growth 5yr,0.40682963439476794
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
