,SGMS
Price/Earnings (TTM),
Price/Sales (TTM),2.5429
Price/Book (MRQ),5.74444
Price/Cash Flow (TTM),21.06851
5yr Low,3.76
5yr High,90.2
5yr Avg Return,0.16641666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.0567478
Dividend Growth 5yr,
Short Int Current Month,5304246.0
Short Int Prev Month,5034953.0
Short Int Pct of Float,0.0573548
Days to Cover,7.2144
Float,92.51331
Shares Outstanding,93.67359
Institutions Holding Shares,269.0
% Held by Institutions,0.934107
FCF Growth 5yr,2.25590414731935
