,SGMS
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.9608559498956158
Growth 2yr High Est,-0.9462863017219224
Growth 2yr Consensus Est,-0.9535711258087691
Growth 5yr Low Est,-0.9608559498956158
Growth 5yr High Est,-0.9462863017219224
Growth 5yr Consensus Est,-0.9535711258087691
Growth 5yr Actual/Est,2.491305587426944
Growth 3yr Historic,0.41843853820598
