,SGMS
% Below High,0.0737
% Held by Institutions,0.9340999999999999
52-Wk Range,['40.10 - 70.66']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,65.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.59
Ex-dividend Date,No dividend
Historical Volatility,0.563
Last (size),45.0
Last (time),1:00p ET 11/25/22
Market Cap,6.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,65.45
Shares Outstanding,93.7M
Short Interest,0.0574
Today's Open,
Volume,232580.0
Volume 10-day Avg,649513.0
Volume Past Day,(Light)
