,KHC
Price/Earnings (TTM),49.1621
Price/Sales (TTM),1.84596
Price/Book (MRQ),0.99132
Price/Cash Flow (TTM),24.9606
5yr Low,19.99
5yr High,82.48
5yr Avg Return,-0.08615
EPS Growth 5yr,-0.25753699999999996
Revenue Growth 5yr,-0.0019697
Dividend Growth 5yr,-0.0740012
Short Int Current Month,14637858.0
Short Int Prev Month,17123515.0
Short Int Pct of Float,0.0187352
Days to Cover,2.32618
Float,781.4483
Shares Outstanding,1224.93
Institutions Holding Shares,1444.0
% Held by Institutions,0.768038
FCF Growth 5yr,0.28862549829569784
