,KHC
% Below High,0.1331
% Held by Institutions,0.768
52-Wk Range,['32.73 - 44.87']
Annual Dividend $,1.6
Annual Dividend %,0.041100000000000005
Ask,39.03
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,38.46
Bid Size,100.0
Closing Price,38.9
Day Change $,0.0
Day Change %,0.0
Day High,39.18
Day Low,38.87
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",0.79
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.267
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,47.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.16
Prev Close,38.9
Shares Outstanding,1.2B
Short Interest,0.0187
Today's Open,39.08
Volume,3595280.0
Volume 10-day Avg,6513643.0
Volume Past Day,(Light)
