,MIRM
Price/Earnings (TTM),
Price/Sales (TTM),14.00953
Price/Book (MRQ),4.31813
Price/Cash Flow (TTM),
5yr Low,6.51
5yr High,30.55
5yr Avg Return,0.1891
Short Int Current Month,1693879.0
Short Int Prev Month,1837805.0
Short Int Pct of Float,0.0480617
Days to Cover,4.20479
Float,35.56028
Shares Outstanding,36.87038
Institutions Holding Shares,166.0
% Held by Institutions,0.930347
FCF Growth 5yr,0.06846264843763002
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
