,MIRM
% Above Low,0.5499
% Held by Institutions,0.9303
52-Wk Range,['12.82 - 30.55']
Annual Dividend $,
Annual Dividend %,
Ask,27.86
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.4
Bid,18.0
Bid Size,500.0
Closing Price,19.87
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.14
Ex-dividend Date,No dividend
Historical Volatility,0.679
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,732.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,19.87
Shares Outstanding,36.9M
Short Interest,0.0481
Today's Open,
Volume,76556.0
Volume 10-day Avg,302348.0
Volume Past Day,(Light)
