,KFY
% Above Low,0.20850000000000002
% Held by Institutions,0.9484
52-Wk Range,['46.47 - 79.36']
Annual Dividend $,0.6
Annual Dividend %,0.010700000000000001
Ask,60.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,22.56
Bid Size,100.0
Closing Price,56.16
Day Change $,-0.44
Day Change %,-0.0078000000000000005
Day High,56.78
Day Low,56.0
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",6.1
Ex-dividend,2022-09-22 00:00:00
Ex-dividend Date,09/22/22
Historical Volatility,0.368
Last (size),26.0
Last (time),5:00p ET 11/25/22
Market Cap,3.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.21
Prev Close,56.6
Shares Outstanding,53.4M
Short Interest,0.023799999999999998
Today's Open,56.0
Volume,124876.0
Volume 10-day Avg,184277.0
Volume Past Day,(Light)
