,OC
Price/Earnings (TTM),6.69103
Price/Sales (TTM),0.88485
Price/Book (MRQ),1.85645
Price/Cash Flow (TTM),4.52651
5yr Low,28.56
5yr High,109.9
5yr Avg Return,0.058949999999999995
EPS Growth 5yr,0.22876919999999998
Revenue Growth 5yr,0.08402570000000001
Dividend Growth 5yr,0.0793319
Short Int Current Month,4436918.0
Short Int Prev Month,5034065.0
Short Int Pct of Float,0.0478636
Days to Cover,4.04705
Float,92.76374
Shares Outstanding,93.4563
Institutions Holding Shares,765.0
% Held by Institutions,1.038773
FCF Growth 5yr,2.338708731617738
