,OC
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,1.7790178571428568
Growth 1yr High Est,1.6528925619834713
Growth 1yr Consensus Est,1.715955209563164
Growth 2yr Low Est,0.7200310169248421
Growth 2yr High Est,0.8346238510851937
Growth 2yr Consensus Est,0.7773274340050178
Growth 5yr Low Est,0.36001550846242103
Growth 5yr High Est,0.41731192554259683
Growth 5yr Consensus Est,0.3886637170025089
Growth 5yr Actual/Est,0.28554756008883264
Growth 3yr Historic,0.232671624375354
