,ESPR
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.3611584327086883
Growth 1yr High Est,0.10031347962382431
Growth 1yr Consensus Est,-0.130422476542432
Growth 2yr Low Est,-0.20324588302101082
Growth 2yr High Est,-0.17776348810831577
Growth 2yr Consensus Est,-0.1905046855646633
Growth 5yr Low Est,-0.13549725534734056
Growth 5yr High Est,-0.11850899207221051
Growth 5yr Consensus Est,-0.12700312370977554
Growth 5yr Actual/Est,0.07495040008908024
Growth 3yr Historic,0.3092348088220413
