,ESPR
% Below High,0.2486
% Held by Institutions,0.8576
52-Wk Range,['3.28 - 9.13']
Annual Dividend $,
Annual Dividend %,
Ask,7.75
Ask Size,500.0
B/A Ratio,1.2
B/A Size,600x500
Beta,0.2
Bid,6.84
Bid Size,600.0
Closing Price,6.86
Day Change $,0.11
Day Change %,0.0163
Day High,6.88
Day Low,6.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.56
Ex-dividend Date,No dividend
Historical Volatility,0.917
Last (size),320.0
Last (time),12:59p ET 11/25/22
Market Cap,504.4M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,6.75
Shares Outstanding,73.7M
Short Interest,0.18719999999999998
Today's Open,6.73
Volume,523501.0
Volume 10-day Avg,1074271.0
Volume Past Day,(Light)
