,ESPR
Price/Earnings (TTM),
Price/Sales (TTM),7.01476
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.28
5yr High,82.68
5yr Avg Return,-0.14713333333333334
Short Int Current Month,13695442.0
Short Int Prev Month,14034855.0
Short Int Pct of Float,0.1872315
Days to Cover,10.24838
Float,73.14709
Shares Outstanding,73.68357
Institutions Holding Shares,182.0
% Held by Institutions,0.857561
FCF Growth 5yr,0.0
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
