,SKY
Price/Earnings (TTM),6.99046
Price/Sales (TTM),1.0659
Price/Book (MRQ),2.65608
Price/Cash Flow (TTM),6.56963
5yr Low,10.82
5yr High,85.92
5yr Avg Return,0.4234833333333334
Short Int Current Month,1899229.0
Short Int Prev Month,2442913.0
Short Int Pct of Float,0.0339614
Days to Cover,2.57453
Float,55.93342
Shares Outstanding,56.92453
Institutions Holding Shares,358.0
% Held by Institutions,1.009954
FCF Growth 5yr,1.738507703436439
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
