,SKY
% Above Low,0.15660000000000002
% Held by Institutions,1.01
52-Wk Range,['43.04 - 85.92']
Annual Dividend $,
Annual Dividend %,
Ask,49.86
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.9
Bid,49.74
Bid Size,200.0
Day Change $,-0.88
Day Change %,-0.0174
Day High,50.63
Day Low,49.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.25
Ex-dividend Date,No dividend
Historical Volatility,0.616
Last (size),3.0
Last (time),2:28p ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",6.99
Prev Close,50.66
Price,49.78
Shares Outstanding,56.9M
Short Interest,0.034
Today's Open,50.12
Volume Past Day,(Light)
