,SKY
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4943820224719102
Growth 2yr High Est,-0.2996941896024464
Growth 2yr Consensus Est,-0.3970381060371783
Growth 5yr Low Est,-0.4943820224719102
Growth 5yr High Est,-0.2996941896024464
Growth 5yr Consensus Est,-0.3970381060371783
Growth 5yr Actual/Est,0.5596886579540232
Growth 3yr Historic,0.5401250355214551
