,CZR
Price/Earnings (TTM),
Price/Sales (TTM),1.00648
Price/Book (MRQ),2.78011
Price/Cash Flow (TTM),27.26252
5yr Low,6.02
5yr High,119.81
5yr Avg Return,0.14913333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.6070234
Dividend Growth 5yr,
Short Int Current Month,11842302.0
Short Int Prev Month,11789354.0
Short Int Pct of Float,0.0554276
Days to Cover,2.31008
Float,213.6599
Shares Outstanding,214.5661
Institutions Holding Shares,649.0
% Held by Institutions,0.926913
FCF Growth 5yr,-0.9340211619039996
