,CZR
% Above Low,0.5867
% Held by Institutions,0.9269
52-Wk Range,['31.31 - 97.39']
Annual Dividend $,
Annual Dividend %,
Ask,49.68
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,2.8
Bid,49.49
Bid Size,100.0
Closing Price,49.68
Day Change $,0.53
Day Change %,0.0108
Day High,49.71
Day Low,48.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.8
Ex-dividend Date,No dividend
Historical Volatility,0.7090000000000001
Last (size),9.0
Last (time),12:59p ET 11/25/22
Market Cap,10.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,49.15
Shares Outstanding,214.6M
Short Interest,0.0554
Today's Open,48.7
Volume,2124717.0
Volume 10-day Avg,4225898.0
Volume Past Day,(Light)
