,SKIN
Price/Earnings (TTM),55.08099
Price/Sales (TTM),4.11416
Price/Book (MRQ),5.51352
Price/Cash Flow (TTM),27.90945
5yr Low,8.27
5yr High,30.17
5yr Avg Return,0.1668
Short Int Current Month,32771176.0
Short Int Prev Month,25923510.0
Short Int Pct of Float,0.2501247
Days to Cover,9.61355
Float,131.079
Shares Outstanding,143.201
Institutions Holding Shares,218.0
% Held by Institutions,1.01758
FCF Growth 5yr,0.43878682293316434
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
