,SKIN
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,6.000000000000001
Growth 2yr High Est,3.375
Growth 2yr Consensus Est,4.6875
Growth 5yr Low Est,6.000000000000001
Growth 5yr High Est,3.375
Growth 5yr Consensus Est,4.6875
Growth 5yr Actual/Est,1.3931880108991823
Growth 3yr Historic,0.0
