,SKIN
% Above Low,0.1833
% Held by Institutions,1.0176
52-Wk Range,['8.27 - 28.32']
Annual Dividend $,
Annual Dividend %,
Ask,9.79
Ask Size,200.0
B/A Ratio,9.0
B/A Size,1800x200
Beta,
Bid,9.77
Bid Size,1800.0
Day Change $,-0.15
Day Change %,-0.0151
Day High,10.0
Day Low,9.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.18
Ex-dividend Date,No dividend
Historical Volatility,0.877
Last (size),100.0
Last (time),2:26p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",55.08
Prev Close,9.93
Price,9.78
Shares Outstanding,143.2M
Short Interest,0.2501
Today's Open,9.76
Volume Past Day,(Light)
