,BKD
% Above Low,0.09029999999999999
% Held by Institutions,0.9876
52-Wk Range,['2.88 - 7.61']
Annual Dividend $,
Annual Dividend %,
Ask,3.7
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.4
Bid,3.03
Bid Size,200.0
Closing Price,3.14
Day Change $,-0.06
Day Change %,-0.018799999999999997
Day High,3.25
Day Low,3.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.58
Ex-dividend Date,No dividend
Historical Volatility,0.668
Last (size),1000.0
Last (time),5:00p ET 11/25/22
Market Cap,584.7M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,3.2
Shares Outstanding,186.8M
Short Interest,0.0587
Today's Open,3.2
Volume,578014.0
Volume 10-day Avg,6420957.0
Volume Past Day,(Light)
