,CARR
Price/Earnings (TTM),10.68316
Price/Sales (TTM),1.80797
Price/Book (MRQ),5.16881
Price/Cash Flow (TTM),9.28456
5yr Low,11.5
5yr High,58.89
5yr Avg Return,0.7964666666666668
Short Int Current Month,6762028.0
Short Int Prev Month,7735143.0
Short Int Pct of Float,0.0080935
Days to Cover,1.61512
Float,835.4933
Shares Outstanding,836.2615
Institutions Holding Shares,1492.0
% Held by Institutions,0.8641160000000001
FCF Growth 5yr,-1.132781423778612
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
