,CARR
% Above Low,0.3356
% Held by Institutions,0.8641
52-Wk Range,['33.10 - 57.69']
Annual Dividend $,0.6
Annual Dividend %,0.013600000000000001
Ask,47.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,35.0
Bid Size,100.0
Closing Price,44.21
Day Change $,0.05
Day Change %,0.0011
Day High,44.41
Day Low,44.1
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",4.14
Ex-dividend,2022-10-27 00:00:00
Ex-dividend Date,10/27/22
Historical Volatility,0.337
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,37.0B
"P/E Ratio (TTM, GAAP)",10.68
Prev Close,44.16
Shares Outstanding,836.3M
Short Interest,0.008100000000000001
Today's Open,44.2
Volume,986255.0
Volume 10-day Avg,3360496.0
Volume Past Day,(Light)
