,MTTR
Price/Earnings (TTM),
Price/Sales (TTM),7.69995
Price/Book (MRQ),1.55131
Price/Cash Flow (TTM),
5yr Low,2.62
5yr High,37.6
5yr Avg Return,0.04310000000000002
Short Int Current Month,23098744.0
Short Int Prev Month,25882721.0
Short Int Pct of Float,0.083939
Days to Cover,3.96077
Float,276.0815
Shares Outstanding,287.4435
Institutions Holding Shares,260.0
% Held by Institutions,0.399659
FCF Growth 5yr,0.5198500040759763
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
