,MTTR
% Above Low,0.2481
% Held by Institutions,0.3997
52-Wk Range,['2.62 - 37.60']
Annual Dividend $,
Annual Dividend %,
Ask,3.2
Ask Size,4000.0
Ask close,3.95
B/A Ratio,0.05
B/A Size,200x4000
Beta,
Bid,3.19
Bid Size,200.0
Bid close,2.49
Change Since Close,-0.03| |(-0.92%)
Closing Price,3.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.86
Ex-dividend Date,No dividend
Historical Volatility,0.937
Last (size),513.0
Last (time),1:00p ET 11/25/22
Last Trade,3.24
Market Cap,939.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.27
Shares Outstanding,287.4M
Short Interest,0.0839
Today's Open,
Volume,3033.0
Volume 10-day Avg,5035022.0
Volume Past Day,(Light)
