,RXRX
Price/Earnings (TTM),
Price/Sales (TTM),61.1598
Price/Book (MRQ),4.15406
Price/Cash Flow (TTM),
5yr Low,4.92
5yr High,42.81
5yr Avg Return,-0.4568
Short Int Current Month,14917334.0
Short Int Prev Month,15800615.0
Short Int Pct of Float,0.0883826
Days to Cover,12.35478
Float,160.9705
Shares Outstanding,189.5558
Institutions Holding Shares,202.0
% Held by Institutions,0.79011
FCF Growth 5yr,3.331399079495416
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
