,RXRX
% Above Low,0.8018000000000001
% Held by Institutions,0.7901
52-Wk Range,['4.92 - 21.19']
Annual Dividend $,
Annual Dividend %,
Ask,8.88
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,8.85
Bid Size,100.0
Day Change $,-0.395
Day Change %,-0.042699999999999995
Day High,9.32
Day Low,8.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.44
Ex-dividend Date,No dividend
Historical Volatility,0.937
Last (size),100.0
Last (time),1:27p ET 11/28/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.26
Price,8.87
Shares Outstanding,189.6M
Short Interest,0.08839999999999999
Today's Open,9.16
Volume Past Day,(Heavy Day)
