,SEIC
% Below High,0.0342
% Held by Institutions,0.7071
52-Wk Range,['46.30 - 64.29']
Annual Dividend $,0.8
Annual Dividend %,0.0128
Ask,62.16
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.0
Bid,62.09
Bid Size,100.0
Day Change $,-0.47
Day Change %,-0.0075
Day High,62.67
Day Low,62.07
Dividend Pay Date,2022-06-22 00:00:00
"EPS (TTM, GAAP)",3.65
Ex-dividend,2022-06-10 00:00:00
Ex-dividend Date,06/10/22
Historical Volatility,0.272
Last (size),200.0
Last (time),1:57p ET 11/28/22
Market Cap,8.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.14
Prev Close,62.56
Price,62.09
Shares Outstanding,134.8M
Short Interest,0.0208
Today's Open,62.12
Volume Past Day,(Light)
