,RRC
% Below High,0.23989999999999997
% Held by Institutions,0.887
52-Wk Range,['16.71 - 37.44']
Annual Dividend $,0.32
Annual Dividend %,0.0108
Ask,28.46
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.1
Bid,28.45
Bid Size,200.0
Day Change $,-1.16
Day Change %,-0.0392
Day High,28.88
Day Low,28.3
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",4.74
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.622
Last (size),1.0
Last (time),1:16p ET 11/28/22
Market Cap,6.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.25
Prev Close,29.62
Price,28.46
Shares Outstanding,241.6M
Short Interest,0.0458
Today's Open,28.46
Volume Past Day,(Light)
