,RRC
Price/Earnings (TTM),6.24659
Price/Sales (TTM),1.32287
Price/Book (MRQ),3.31708
Price/Cash Flow (TTM),4.44809
5yr Low,1.61
5yr High,37.44
5yr Avg Return,0.26389999999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.2133737
Dividend Growth 5yr,
Short Int Current Month,10729539.0
Short Int Prev Month,10335164.0
Short Int Pct of Float,0.0458054
Days to Cover,2.97848
Float,234.2347
Shares Outstanding,241.6351
Institutions Holding Shares,489.0
% Held by Institutions,0.887038
FCF Growth 5yr,0.40410848143637895
