,RRC
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,1.7758620689655173
Growth 1yr High Est,1.4612068965517242
Growth 1yr Consensus Est,1.6185344827586208
Growth 2yr Low Est,0.7316163346897979
Growth 2yr High Est,0.8024073011655294
Growth 2yr Consensus Est,0.7670118179276637
Growth 5yr Low Est,0.7316163346897979
Growth 5yr High Est,0.8024073011655294
Growth 5yr Consensus Est,0.7670118179276637
Growth 5yr Actual/Est,-5.778984342399758
Growth 3yr Historic,-6.167361111111112
