,CXW
Price/Earnings (TTM),11.51826
Price/Sales (TTM),1.51666
Price/Book (MRQ),0.9996
Price/Cash Flow (TTM),10.93288
5yr Low,5.76
5yr High,26.09
5yr Avg Return,-0.026866666666666674
EPS Growth 5yr,
Revenue Growth 5yr,0.0013835
Dividend Growth 5yr,
Short Int Current Month,1921859.0
Short Int Prev Month,4017670.0
Short Int Pct of Float,0.0170046
Days to Cover,1.40934
Float,228.1912
Shares Outstanding,229.9623
Institutions Holding Shares,273.0
% Held by Institutions,0.8080710000000001
FCF Growth 5yr,-0.23734745576918503
