,CXW
% Below High,0.14400000000000002
% Held by Institutions,0.8081
52-Wk Range,['8.39 - 14.24']
Annual Dividend $,
Annual Dividend %,
Ask,12.19
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,11.8
Bid Size,100.0
Closing Price,12.19
Day Change $,0.04
Day Change %,0.0033
Day High,12.36
Day Low,12.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.06
Ex-dividend Date,No dividend
Historical Volatility,0.465
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.52
Prev Close,12.15
Shares Outstanding,115.0M
Short Interest,0.017
Today's Open,12.14
Volume,327370.0
Volume 10-day Avg,1016077.0
Volume Past Day,(Light)
