,CIEN
Price/Earnings (TTM),34.51271
Price/Sales (TTM),1.76459
Price/Book (MRQ),2.45197
Price/Cash Flow (TTM),19.41543
5yr Low,19.99
5yr High,78.28
5yr Avg Return,0.18528333333333336
EPS Growth 5yr,0.4410669
Revenue Growth 5yr,0.0684257
Dividend Growth 5yr,
Short Int Current Month,4234333.0
Short Int Prev Month,4987366.0
Short Int Pct of Float,0.028827600000000002
Days to Cover,2.26948
Float,146.886
Shares Outstanding,148.1418
Institutions Holding Shares,567.0
% Held by Institutions,0.9834390000000001
FCF Growth 5yr,-11.563077200577203
