,CIEN
% Above Low,0.15080000000000002
% Held by Institutions,0.9834
52-Wk Range,['38.33 - 78.28']
Annual Dividend $,
Annual Dividend %,
Ask,53.5
Ask Size,2400.0
B/A Ratio,0.20833333333333334
B/A Size,500x2400
Beta,1.0
Bid,37.0
Bid Size,500.0
Closing Price,44.11
Day Change $,0.06
Day Change %,0.0014000000000000002
Day High,44.42
Day Low,43.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.28
Ex-dividend Date,No dividend
Historical Volatility,0.418
Last (size),300.0
Last (time),5:00p ET 11/25/22
Market Cap,6.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.51
Prev Close,44.05
Shares Outstanding,148.1M
Short Interest,0.0288
Today's Open,44.01
Volume,590815.0
Volume 10-day Avg,1627583.0
Volume Past Day,(Light)
