,R
Price/Earnings (TTM),5.90925
Price/Sales (TTM),0.41887
Price/Book (MRQ),1.60312
Price/Cash Flow (TTM),1.86559
5yr Low,22.62
5yr High,97.26
5yr Avg Return,0.06008333333333333
EPS Growth 5yr,0.1438453
Revenue Growth 5yr,0.07412930000000001
Dividend Growth 5yr,0.0604671
Short Int Current Month,2106166.0
Short Int Prev Month,1770115.0
Short Int Pct of Float,0.0423887
Days to Cover,3.155
Float,49.79789
Shares Outstanding,50.25109
Institutions Holding Shares,461.0
% Held by Institutions,0.8292820000000001
FCF Growth 5yr,-0.4351299719388315
