,R
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,14.192307692307692
Growth 1yr High Est,13.863636363636363
Growth 1yr Consensus Est,14.027972027972027
Growth 2yr Low Est,6.892989289191821
Growth 2yr High Est,6.783500139004726
Growth 2yr Consensus Est,6.838244714098273
Growth 5yr Low Est,3.4464946445959104
Growth 5yr High Est,3.391750069502363
Growth 5yr Consensus Est,3.4191223570491363
Growth 5yr Actual/Est,-9.350283295265132
Growth 3yr Historic,-9.437202053538687
