,R
% Below High,0.029300000000000003
% Held by Institutions,0.8293
52-Wk Range,['61.71 - 97.26']
Annual Dividend $,2.48
Annual Dividend %,0.0258
Ask,94.48
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,94.41
Bid Size,100.0
Day Change $,-1.63
Day Change %,-0.017
Day High,95.9
Day Low,94.37
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",16.25
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.413
Last (size),100.0
Last (time),12:12p ET 11/28/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.91
Prev Close,96.05
Price,94.42
Shares Outstanding,50.3M
Short Interest,0.0424
Today's Open,95.0
Volume Past Day,(Light)
