,NRDY
Price/Earnings (TTM),
Price/Sales (TTM),2.15436
Price/Book (MRQ),7.28206
Price/Cash Flow (TTM),
5yr Low,1.59
5yr High,13.49
5yr Avg Return,-0.3232
Short Int Current Month,5237304.0
Short Int Prev Month,6029740.0
Short Int Pct of Float,0.0903046
Days to Cover,12.28742
Float,71.13766
Shares Outstanding,162.4526
Institutions Holding Shares,96.0
% Held by Institutions,0.628802
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
