,NRDY
% Above Low,0.35850000000000004
% Held by Institutions,0.6288
52-Wk Range,['1.59 - 6.53']
Annual Dividend $,
Annual Dividend %,
Ask,2.3
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,
Bid,2.16
Bid Size,900.0
Change Since Close,0.07| |(3.24%)
Closing Price,2.16
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.1
Ex-dividend Date,No dividend
Historical Volatility,0.927
Last (size),3.0
Last (time),5:00p ET 11/25/22
Last Trade,2.23
Market Cap,201.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.16
Shares Outstanding,93.2M
Short Interest,0.09029999999999999
Today's Open,
Volume,3.0
Volume 10-day Avg,690668.0
Volume Past Day,(Light)
