,TXG
Price/Earnings (TTM),
Price/Sales (TTM),8.14436
Price/Book (MRQ),5.28636
Price/Cash Flow (TTM),
5yr Low,23.81
5yr High,208.99
5yr Avg Return,0.13465
Short Int Current Month,8545400.0
Short Int Prev Month,5686507.0
Short Int Pct of Float,0.0941776
Days to Cover,4.01827
Float,90.74958
Shares Outstanding,114.4635
Institutions Holding Shares,352.0
% Held by Institutions,0.890978
FCF Growth 5yr,0.2657548632029876
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
