,TXG
% Above Low,0.4582
% Held by Institutions,0.8909999999999999
52-Wk Range,['23.81 - 157.74']
Annual Dividend $,
Annual Dividend %,
Ask,35.17
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,34.52
Bid Size,100.0
Closing Price,34.72
Day Change $,-1.12
Day Change %,-0.0313
Day High,36.38
Day Low,34.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.48
Ex-dividend Date,No dividend
Historical Volatility,0.872
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,4.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,35.84
Shares Outstanding,114.5M
Short Interest,0.0942
Today's Open,35.5
Volume,727541.0
Volume 10-day Avg,1119035.0
Volume Past Day,(Light)
