,BSY
Price/Earnings (TTM),64.69423
Price/Sales (TTM),10.25827
Price/Book (MRQ),21.37356
Price/Cash Flow (TTM),42.20061
5yr Low,26.32
5yr High,71.92
5yr Avg Return,0.13390000000000002
Short Int Current Month,6990696.0
Short Int Prev Month,7124797.0
Short Int Pct of Float,0.0321098
Days to Cover,5.58764
Float,207.0683
Shares Outstanding,288.3927
Institutions Holding Shares,399.0
% Held by Institutions,0.34821199999999997
FCF Growth 5yr,0.13497102544721593
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
