,BSY
% Above Low,0.4647
% Held by Institutions,0.3482
52-Wk Range,['26.32 - 50.96']
Annual Dividend $,0.12
Annual Dividend %,0.0031
Ask,38.72
Ask Size,100.0
B/A Ratio,55.0
B/A Size,5500x100
Beta,
Bid,38.31
Bid Size,5500.0
Closing Price,38.55
Day Change $,0.24
Day Change %,0.0063
Day High,38.73
Day Low,38.09
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",0.6
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.501
Last (size),261.0
Last (time),12:59p ET 11/25/22
Market Cap,11.1B
"P/E Ratio (TTM, GAAP)",64.69
Prev Close,38.31
Shares Outstanding,288.4M
Short Interest,0.0321
Today's Open,38.12
Volume,326653.0
Volume 10-day Avg,959702.0
Volume Past Day,(Light)
