,BSY
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.306451612903226
Growth 1yr High Est,0.328125
Growth 1yr Consensus Est,0.317288306451613
Growth 2yr Low Est,0.1655714854639586
Growth 2yr High Est,0.22288602941176472
Growth 2yr Consensus Est,0.19422875743786167
Growth 5yr Low Est,0.11038099030930575
Growth 5yr High Est,0.1485906862745098
Growth 5yr Consensus Est,0.12948583829190777
Growth 5yr Actual/Est,0.1256282482872667
Growth 3yr Historic,0.109375
