,GERN
Price/Earnings (TTM),
Price/Sales (TTM),552.082
Price/Book (MRQ),7.82361
Price/Cash Flow (TTM),
5yr Low,0.75
5yr High,6.99
5yr Avg Return,0.10045
EPS Growth 5yr,
Revenue Growth 5yr,-0.2572445
Dividend Growth 5yr,
Short Int Current Month,19022937.0
Short Int Prev Month,16500938.0
Short Int Pct of Float,0.0521036
Days to Cover,5.35002
Float,365.3359
Shares Outstanding,381.235
Institutions Holding Shares,217.0
% Held by Institutions,0.496379
FCF Growth 5yr,0.22447530495089682
