,GERN
% Below High,0.27449999999999997
% Held by Institutions,0.4964
52-Wk Range,['0.9899 - 3.06']
Annual Dividend $,
Annual Dividend %,
Ask,2.23
Ask Size,200.0
B/A Ratio,10.5
B/A Size,2100x200
Beta,0.8
Bid,2.22
Bid Size,2100.0
Closing Price,2.22
Day Change $,0.02
Day Change %,0.0091
Day High,2.24
Day Low,2.19
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.36
Ex-dividend Date,No dividend
Historical Volatility,0.8079999999999999
Last (size),1300.0
Last (time),1:00p ET 11/25/22
Market Cap,846.3M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,2.2
Shares Outstanding,381.2M
Short Interest,0.0521
Today's Open,2.19
Volume,626232.0
Volume 10-day Avg,2515791.0
Volume Past Day,(Light)
