,FSLY
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,2.1904761904761907
Growth 1yr High Est,4.7272727272727275
Growth 1yr Consensus Est,3.458874458874459
Growth 2yr Low Est,1.0952380952380953
Growth 2yr High Est,2.046176046176046
Growth 2yr Consensus Est,1.5707070707070707
Growth 5yr Low Est,0.37597725657427156
Growth 5yr High Est,0.8474123474123475
Growth 5yr Consensus Est,0.6116948019933095
Growth 5yr Actual/Est,0.2686698717948718
Growth 3yr Historic,0.2532051282051282
