,FSLY
Price/Earnings (TTM),
Price/Sales (TTM),2.55801
Price/Book (MRQ),1.08619
Price/Cash Flow (TTM),
5yr Low,7.32
5yr High,136.5
5yr Avg Return,0.4275500000000001
Short Int Current Month,10716089.0
Short Int Prev Month,11867998.0
Short Int Pct of Float,0.096179
Days to Cover,2.63731
Float,111.6199
Shares Outstanding,123.0
Institutions Holding Shares,306.0
% Held by Institutions,0.5932780000000001
FCF Growth 5yr,0.9206823877876508
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
