,ZYXI
Price/Earnings (TTM),28.87201
Price/Sales (TTM),3.38444
Price/Book (MRQ),7.86379
Price/Cash Flow (TTM),23.53998
5yr Low,1.68
5yr High,27.02
5yr Avg Return,0.4388166666666667
EPS Growth 5yr,1.933079
Revenue Growth 5yr,0.5780993999999999
Dividend Growth 5yr,
Short Int Current Month,3352703.0
Short Int Prev Month,3684031.0
Short Int Pct of Float,0.16127060000000001
Days to Cover,12.69665
Float,20.79778
Shares Outstanding,37.45345
Institutions Holding Shares,169.0
% Held by Institutions,0.285015
FCF Growth 5yr,1.471636600493797
