,MTB
% Below High,0.11
% Held by Institutions,0.8354
52-Wk Range,['141.49 - 193.42']
Annual Dividend $,4.8
Annual Dividend %,0.0279
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,122.22
Bid Size,
Closing Price,172.14
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",10.06
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.36100000000000004
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,29.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.12
Prev Close,172.14
Shares Outstanding,172.6M
Short Interest,0.014199999999999999
Today's Open,
Volume,316459.0
Volume 10-day Avg,1157773.0
Volume Past Day,(Light)
