,RVMD
% Below High,0.23079999999999998
% Held by Institutions,0.9994
52-Wk Range,['14.08 - 28.16']
Annual Dividend $,
Annual Dividend %,
Ask,21.71
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,
Bid,21.65
Bid Size,200.0
Day Change $,-0.21
Day Change %,-0.0096
Day High,22.06
Day Low,21.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.18
Ex-dividend Date,No dividend
Historical Volatility,0.735
Last (size),100.0
Last (time),1:25p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.87
Price,21.66
Shares Outstanding,88.8M
Short Interest,0.1115
Today's Open,21.7
Volume Past Day,(Light)
