,RVMD
Price/Earnings (TTM),
Price/Sales (TTM),65.80328
Price/Book (MRQ),2.81841
Price/Cash Flow (TTM),
5yr Low,14.08
5yr High,56.18
5yr Avg Return,-0.03686666666666666
Short Int Current Month,9705730.0
Short Int Prev Month,9886451.0
Short Int Pct of Float,0.1114555
Days to Cover,14.60569
Float,87.19607
Shares Outstanding,88.7908
Institutions Holding Shares,211.0
% Held by Institutions,0.999449
FCF Growth 5yr,0.29046328956657785
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
