,GRBK
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.6628895184135979
Growth 1yr High Est,0.6197916666666667
Growth 1yr Consensus Est,0.6413405925401323
Growth 2yr Low Est,0.05802056840611752
Growth 2yr High Est,0.11777364683815655
Growth 2yr Consensus Est,0.08789710762213704
Growth 5yr Low Est,0.4404216956144702
Growth 5yr High Est,0.4673613996902647
Growth 5yr Consensus Est,0.4538915476523675
Growth 5yr Actual/Est,0.4341516028637702
Growth 3yr Historic,0.39793719211822665
