,GRBK
% Above Low,0.4536
% Held by Institutions,0.8912
52-Wk Range,['16.80 - 32.25']
Annual Dividend $,
Annual Dividend %,
Ask,29.01
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,23.15
Bid Size,100.0
Closing Price,24.42
Day Change $,-0.01
Day Change %,-0.0004
Day High,24.76
Day Low,24.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.08
Ex-dividend Date,No dividend
Historical Volatility,0.5650000000000001
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",4.01
Prev Close,24.43
Shares Outstanding,46.0M
Short Interest,0.0504
Today's Open,24.23
Volume,98464.0
Volume 10-day Avg,375008.0
Volume Past Day,(Light)
